Program Identity,,,,Geography & Availability,,,,Income & Household,,,,,,Housing Situation,,,,,Special Eligibility,,,,,,Financial Underwriting,,,,,,Benefit & Operations,,,,,,Governance & Verification,,,,Contact,,,,,Research Summary,,,,Source & Quality,,,,,,Forms,,
Program ID,Program Name,Category,Administrator,Eligible Counties,Eligible ZIP Codes,Application Status,Application Window,AMI Min %,AMI Max %,Income Standard,Household Size Used?,Household Composition Rule,Asset Limit,Eligible Tenure,Primary Residence Required,Utility Account Required,Rent/Mortgage Arrears Required,Property Type Rule,First-Time Homebuyer Required,Employment / Occupation Rule,Age Rule,Disability Rule,Veteran Rule,Children / Pregnancy Rule,Credit Score Min,DTI Max %,Home Price / Rent Cap,Citizenship / Immigration Rule,Crisis / Displacement Required,Other Hard Disqualifiers,Benefit Type,Maximum Benefit,Benefit Frequency,Priority Factors,Required Documents,Application Method,Source URL,Last Verified,Verification Status,Internal Notes,Phone,Email,Address,Online schedule link,Intake Hours,Service Area Detail,Eligibility Summary,Availability / Waitlist Notes,Primary Source Type,Secondary Source URL,Research Confidence,Partner Listing Count,Partner Listing IDs,Data Gaps / Follow-Up,Research Date,Application Form URL,Form Notes,Reverification Notes
MASLOW-SHAP-OR-001,Maslow Project - Short-Term Housing Assistance (SHAP) and Housing Navigation,Rent Support,Maslow Project (nonprofit),Jackson; Josephine,,Open,Continuous,,,Not a fixed AMI test - eligibility is based on youth/family homelessness status,Not specified,,,Renter; unstably housed,,,,,,,Youth age 21 or younger (some sources cite up to 24); or a parent of a child enrolled in a Medford-area school district,,,No requirement - also serves families with minor children experiencing homelessness,,,,,"Yes - homeless, recently homeless, or at risk of becoming homeless",,"Short-term rental and utility assistance to prevent homelessness, plus housing navigation, basic needs (food, hygiene, clothing), and access to Jackson County's Centralized Interest List for housing","Not published - short-term/one-time assistance, amount determined case by case","As needed, short-term",,Not published - begin with a visit to the Drop-In Resource Center or a call,"Visit the Medford or Grants Pass Resource Center, or call to connect with a case manager",https://www.maslowproject.com/get-help,2026-08-04,Verified against Maslow Project's official page and Jackson Youth Systems of Care's program summary,"Maslow Project's Medford location also serves as a Jackson County Continuum of Care Coordinated Entry access point, meaning it can place a household on the county's centralized housing interest list in addition to its own short-term assistance.",(541) 608-6868,,"500 Monroe St., Medford, OR 97501",,"Mon-Fri 10:00am-5:00pm (Medford); Mon-Fri 8:30am-5:00pm, drop-in 1-5pm (Grants Pass)",Jackson and Josephine County,"Youth 24 and under, or families with minor children, experiencing or at risk of homelessness",Not published,Nonprofit (Maslow Project) official page,https://jysoc.org/youth/youth-housing-resources/,Medium,1,MASLOW,Exact age cutoff is inconsistent between sources (21 vs. 24) - confirm directly before referring a borderline-age client,2026-08-06,https://www.maslowproject.com/get-help,"No application form - visit the Medford or Grants Pass Resource Center, or call (541) 608-6868. The Medford site is also a Jackson County Coordinated Entry access point and can add a household to the county centralized housing interest list.",Reverified 2026-08-06. Age cutoff remains inconsistent between sources (21 vs 24) - confirm directly for a borderline-age client.
FNC-HOUSING-OR-001,Family Nurturing Center - Housing Support (wraparound family service),Rent Support,Family Nurturing Center (nonprofit Relief Nursery),Jackson; Josephine,,"Open, but housing support is one component of broader family-support enrollment, not a standalone fund",Continuous,,,Not published as a fixed AMI test,,,,,,,,,,,,,,Yes - primarily serves families with children ages birth through 5 who are at risk of child welfare involvement,,,,,"Not a hard requirement, but housing instability is one of the risk factors FNC commonly addresses alongside addiction, poverty, and intergenerational trauma",,"Housing support' listed among a broader basket of wraparound family-strengthening services (parenting education, therapeutic early childhood classes, food, diapers, mental health services, respite care)",Not published - not a dedicated rental/deposit assistance fund with its own dollar limits,"Ongoing, as part of case-managed family support",,Not published,Contact Family Nurturing Center directly to discuss enrollment in family support services,https://www.familynurturingcenter.org/family-support-programs/,2026-08-04,"LOW CONFIDENCE this functions as a distinct rental/deposit/eviction-prevention program - 'housing support' appears as one line item within a broad family-services list, with no published eligibility criteria, dollar amounts, or application process specific to housing","Unlike the other organizations in this batch, FNC does not present housing assistance as a defined program with its own eligibility rules - it appears to be informal/connective support offered to families already engaged with FNC's core child-safety mission. Treat this row as a referral possibility for families already known to FNC, not as a standalone application path.",Not confirmed for housing support specifically,,"212 N Oakdale Ave, Medford, OR 97501",,Mon-Fri 8:00am-5:00pm,Jackson and Josephine County,Families with children ages 0-5 facing child-safety-related instability; housing support offered informally within broader case management,Not published,Nonprofit (Family Nurturing Center) official page,https://www.findhelp.org/provider/family-nurturing-center--medford-or/4725002856824832?postal=97501,Medium,1,FNC,"No published eligibility criteria, benefit amount, or application process specific to housing assistance - call to confirm this is a live, distinct offering before referring a client on this basis alone clear on who they serve but not what they can do for support",2026-08-06,https://www.familynurturingcenter.org/family-support-programs/,"No housing-specific application. ""Housing support"" appears as one line item within a broad family-services list, with no published eligibility, dollar amount, or application process specific to housing.","Reverified 2026-08-06 - LOW CONFIDENCE UNCHANGED. Treat as a referral possibility for families already engaged with FNC (children ages 0-5, child-safety mission), not as a standalone rental/deposit assistance path. Call to confirm this is a live, distinct offering before referring on this basis alone."
OHRA-NAV-OR-001,OHRA (Options for Helping Residents of Ashland) - Eviction Prevention & Resource Navigation,Rent Support,"OHRA (nonprofit), in partnership with ACCESS and other Jackson County Continuum of Care agencies",Jackson,,Open,Continuous - walk-in resource center,,,Not published as a fixed AMI test - navigators connect guests to whichever partner program's criteria apply (e.g. ACCESS's 80% AMI Rental Assistance),,,,,,,,,,,,,,,,,,,No requirement - serves both housed people at risk of eviction and people already unhoused; anyone can speak with a navigator,,"Resource navigation and direct connection to eviction-prevention funding, deposit assistance, and rent support held by partner agencies; also operates the OHRA Center shelter (52 rooms), a walk-in Resource Center, and a shower/laundry trailer",Not applicable - OHRA itself is primarily a navigation/shelter hub; the rental/deposit dollars it connects guests to come from partner agencies' own funds,As needed,,Not published - navigators assess documents needed based on which partner program applies,Walk in to The OHRA Center resource center; no enrollment required to speak with a navigator,https://ohrahelps.org/programs/,2026-08-04,Verified directly against OHRA's official Programs page; OHRA's own reporting states 418 households received eviction-prevention assistance and 430 were permanently housed through its shelter location,"OHRA is best understood as an access point and shelter, not a direct rental/deposit assistance fund with its own published income limits - a documented example shows OHRA's navigator connecting a family to a community partner for both a deposit and several months' rent, meaning the actual funds came from elsewhere. List OHRA as a referral hub in any client-facing material, not as a source of guaranteed direct cash assistance.",(541) 631-2235,"2350 Ashland St., Ashland, OR 97520","2350 Ashland St., Ashland, OR 97520",,Resource Center Mon-Fri 9:00am-2:00pm; shelter 24/7/365,"Jackson County, with a particular focus on the Ashland area",No fixed test - open to anyone at risk of eviction or experiencing homelessness in Jackson County; actual funding eligibility depends on which partner program the navigator connects the guest to access point for LTRA funds,OHRA's 52-room shelter maintains a waitlist of roughly 80 people; the Resource Center itself has no waitlist to walk in and speak with a navigator,Nonprofit (OHRA) official page + local news coverage,https://ashland.news/four-years-in-ashlands-ohra-shelter-has-permanently-housed-hundreds/,High,1,OHRA,"Unclear whether OHRA holds any of its own discretionary eviction-prevention funds versus purely referring to partners (ACCESS, Unete, Resolve, The Arc Jackson County, The Salvation Army are named partners in prior eviction-prevention reporting) COC CE member for LTRA",2026-08-06,https://ohrahelps.org/programs/,No application form - walk in to the OHRA Center Resource Center to speak with a navigator; no enrollment required.,"Reverified 2026-08-06. OHRA is a navigation hub and shelter, NOT a direct fund with its own income limits - the rental/deposit dollars it connects guests to come from partner agencies. Shelter waitlist runs roughly 80 people; the Resource Center itself has no waitlist."
HAJC-HCV-OR-001,Housing Choice Voucher Program (Section 8),Rent Support,"Housing Authority of Jackson County (HAJC), a federal Public Housing Agency funded by HUD",Jackson,,OPEN (Housing Choice Voucher waitlist) - confirmed directly on hajc.net,Continuous while the HCV waitlist is open; no predetermined closing date identified,0,50,"Very-Low Income (50% AMI) limits effective 05/01/2026: 1p $34,350 / 2p $39,250 / 3p $44,150 / 4p $49,050 / 5p $53,000 / 6p $56,900 / 7p $60,850 / 8p $64,750",Yes,,,Renter (voucher holder chooses a qualifying private-market unit),Yes,,,Any qualifying private-market rental unit that passes HAJC's housing quality inspection(HQS moving to NSPIRE) anywhere in Jackson County (or portable to another PHA's jurisdiction),,,,,,,,,,,,,"Ongoing monthly rental subsidy - the household pays approximately 30% of monthly income toward rent, and HAJC pays the remainder directly to the landlord","Payment standard varies by unit size/market rent; no fixed dollar cap published (subsidy is the difference between 30% of household income and the unit's rent, up to HAJC's payment standard)","Ongoing monthly, for as long as the household remains eligible and in compliance Will need to update yearly along with AMI","HAJC may apply local preferences (e.g. homelessness, high rent burden, displacement) when the waitlist is long","Income, asset, and household composition documentation for HAJC's eligibility verification once selected from the waitlist",Apply online through HAJC's website while the Housing Choice Voucher waitlist is open,https://hajc.net/housing-programs/housing-choice-voucher/,2026-08-06,Core program mechanics verified against HAJC's own page; current waitlist open/closed status and wait-time figures came from a third-party waitlist tracking site and should be reconfirmed directly with HAJC before advising a client,"Projected wait time cited at 3-4 years once on the waitlist (per HAJC's own page) - this is an extremely long-term program, not a fast source of rental relief; screen households needing immediate help toward ACCESS's Rental Assistance Program or OHRA instead, and treat an HCV application as a parallel long-term step. HAJC also administers Project-Based Vouchers (tied to a specific unit, not portable) and Public Housing, both closed to new applicants as of the most recent status located.",(541) 779-5785 (fax 541-857-1118),Not published; use phone or the Applicant Portal,"2251 Table Rock Road, Medford, OR 97501",,Mon-Thu 8:00am-4:30pm. CLOSED FRIDAYS. Closed daily 12:00-1:00pm. First Thursday opens 10:00am.,Jackson County; voucher portable after initial lease-up,"Very low-income household (~<=50% AMI); passes HAJC screening (income, assets, household composition, criminal/rental history checks per standard HCV rules)",Public Housing Agency (HAJC) official page,https://hajc.net/housing-programs/housing-choice-voucher/,High,High,1,HAJC,Need to collect forms and add to screener,2026-08-06,https://www.pha-web.com/portals/applicant/2123,"No downloadable initial application - apply exclusively through the online Applicant Portal (link above). Participant forms available at hajc.net include: Change Report, Annual Recertification Packet, Add Member Packet, Request for Live-In Aide, Portability Request, Request for Reasonable Accommodation, Release of Information, and Home Ownership Annual Recertification Packet.","CORRECTED 2026-08-06 against hajc.net directly (prior source was a third-party waitlist tracker). Waitlist confirmed OPEN; projected wait 3-4 years per HAJC. WARNING: HAJC's own page displays BOTH a current 05/01/2026 income table and an outdated 04/01/2021 table - the 2021 figures are ~$10,000 lower and would wrongly screen out eligible applicants. HAJC also offers 6 other programs not on this sheet: Project-Based Voucher, NED Vouchers, HUD-VASH, Family Self-Sufficiency, Homeownership Voucher, and 1,500+ non-subsidized affordable apartments."
ROGUERETREAT-EP-OR-001,Rogue Retreat Eviction Prevention & Housing Stability,Rent Support,Rogue Retreat (nonprofit),Jackson,,Open,Continuous,,,Not published as a fixed AMI test,,,,,,,,,,,,,,,,,,,"Yes - must be at risk of eviction, or already experiencing homelessness",,"Payment plans to help cover security deposits; payment plans or partner connections to pay off existing rental debt; in-house shelter, tiny home villages, shared housing/apartments, street outreach, and medical respite for those already unhoused","Not published - Oregon Law Center data cited by Rogue Retreat puts average eviction-prevention cost around $2,600 per household, for context on program scale rather than a guaranteed benefit cap","As needed, case by case",,Not published,Call or visit Rogue Retreat directly,https://rogueretreat.org/,2026-08-04,"Verified against a February 2026 local news feature quoting Rogue Retreat's Executive Director directly, plus Rogue Retreat's own organizational listings","Rogue Retreat also operates a broader 5-tier housing/shelter continuum (street outreach, low-barrier shelter, tiny home villages, shared housing/apartments, medical respite) serving over 500 people nightly across Southern Oregon - eviction prevention (deposit payment plans, debt payment plans) is one specific service within that continuum, not a separately named fund.",(541) 499-0880,"711 E. Main St. #25, Medford, OR 97504","711 E. Main St. #25, Medford, OR 97504",,Not independently confirmed,Jackson County,Household at risk of eviction or experiencing homelessness in Jackson County; no published income test,Not published,Local news feature (direct quotes from Rogue Retreat leadership) + nonprofit official listings,https://www.kdrv.com/news/local/inside-southern-oregons-rental-assistance-programs/article_cdc015e6-b65b-11ee-97ef-b746c1fdae15.html,Medium,1,ROGUERETREAT,No dedicated program page with formal eligibility criteria was located - confirm intake process directly by phone COC CE entry point,2026-08-06,https://rogueretreat.org/,"No application form located - contact directly. Services include deposit payment plans and rental-debt payment plans, plus shelter, tiny home villages, shared housing, and medical respite.",Reverified 2026-08-06. No dedicated program page with formal eligibility criteria or benefit caps was located - confirm intake process by phone.
SALVATIONARMY-MEDFORD-OR-001,Salvation Army Medford Corps - Rent & Utility Assistance / Hope House Transitional Housing,Rent Support,"The Salvation Army, Medford Corps",Jackson,,Open,Continuous,,,Not published as a fixed AMI test,,,,,,,,,,,,,,,,,,,Yes - for households at risk of eviction or utility shutoff,,Utility and rent payment assistance (Advocacy and Social Services-style direct aid); Hope House offers longer-term transitional housing,Not published,Not published,,"Not published - call ahead, as walk-in hours are limited",Call the Medford Corps directly,https://jacksoncountyor.gov/departments/health___human_services/programs_and_services/veterans_services/veterans_resources/housing_assistance.php,2026-08-04,Verified against Jackson County's own official veterans/housing resource directory,"Two distinct addresses/phone numbers exist for Salvation Army services in Medford: the main Corps community center handles direct rent/utility aid, while Hope House is a separate transitional-housing location with its own phone line.",(541) 773-6965 (Corps); (541) 773-7005 (Hope House),"304 Beatty Street, Medford, OR 97501 (Corps); 1065 Crews Rd, Medford, OR 97501 (Hope House)","304 Beatty Street, Medford, OR 97501 (Corps); 1065 Crews Rd, Medford, OR 97501 (Hope House)",,Tue-Fri 9:00am-3:00pm (confirm directly),Jackson County,Low-income household facing rent or utility crisis; no published fixed income test,Not published,County government official resource directory,https://www.findhelp.org/housing/help-pay-for-housing--medford-or,Medium,1,SALVATIONARMY-MEDFORD,"Named as a partner agency in the 435-household eviction-prevention total reported by Jackson County CoC in 2024, but no dedicated program page with dollar limits was located, has tempory housing",2026-08-06,https://centralusa.salvationarmy.org/medford/,"No downloadable application - call ahead, as walk-in hours are limited.",Reverified 2026-08-06 against Jackson County's official resource directory. Two distinct locations/phone numbers confirmed. Benefit amounts and formal eligibility criteria not published.
SVDP-MEDFORD-OR-001,St. Vincent de Paul Medford - Advocacy and Social Services Program,Rent Support,"St. Vincent de Paul, Medford",Jackson,,Open,Continuous,,,Not published as a fixed AMI test,,,,,,,,,,,,,,,,,,,"No specific crisis requirement identified, though rent/utility assistance is inherently need-based",Assistance limited to once every 24 months per household,"Rent and utility payment assistance; also provides counseling, bus passes, clothing vouchers, hygiene products, and a homeless family shelter, dining room, and dental/medical screenings",Not published,Once every 24 months per household,,Not published,Call or visit St. Vincent de Paul Medford directly; counseling available Monday-Friday starting 10:00am,http://www.stvincentdepaulmedford.info/,2026-08-04,"Verified address/phone against Jackson County's official resource directory; program detail (24-month limit, services list) sourced from a findhelp.org aggregator listing",St. Vincent de Paul Medford also operates a homeless family shelter and dining room in addition to rent/utility assistance - a broader safety-net presence than a single rental-assistance fund.,(541) 772-3828,"2424 N. Pacific Highway (Hwy 99), Medford, OR 97501","2424 N. Pacific Highway (Hwy 99), Medford, OR 97501",,Counseling Mon-Fri from 10:00am,Jackson County,Low-income household; assistance capped at once per 24 months,Not published,County government resource directory + findhelp.org aggregator,https://jacksoncountyor.gov/departments/health___human_services/programs_and_services/veterans_services/veterans_resources/housing_assistance.php,Medium,1,SVDP-MEDFORD,Maximum benefit amount not published; confirm directly by phone normally 300-500 Funding is limited,2026-08-06,https://www.svdpmedford.org/,No downloadable application - call or visit. Assistance limited to once every 24 months per household.,Reverified 2026-08-06. Address/phone confirmed against Jackson County's official resource directory; the 24-month limit is from a findhelp.org aggregator listing and should be confirmed directly.
JHCDC-HCV-OR-001,Housing Choice Voucher Program (Section 8) - Josephine County,Rent Support,Josephine Housing and Community Development Council (JHCDC) - the Public Housing Agency for Josephine County,Josephine,,OPEN - waiting list open until further notice,Continuous while the waitlist remains open,0,50,"HUD income limits for Josephine County, based on gross income before taxes or deductions. Monthly limits posted at jhcdc.net/applicants/ (most recent set effective 04-01-2025 - confirm current).",Yes,A single person is considered a family. Earned income of household members under 18 is NOT counted.,,Renter,Yes,,,Any qualifying privately owned rental unit in Josephine County that passes inspection,,,,,,,,,,Standard HUD HCV citizenship/eligible-immigration-status rules apply,,Giving false information on the application; being over income; household members involved in certain drug-related or violent criminal activity; being on a deny list from any housing authority,Ongoing monthly rent subsidy paid directly to the landlord; household pays roughly 30% of income,Varies by unit size and payment standard,Ongoing monthly while eligible,"None - all eligible families are brought to the top of the list first come, first served, by date and time of pre-application submission","Physical address, mailing address, and Social Security Number for all household members","Three ways to obtain a pre-application: (1) visit the JHCDC office at 1205 NE 7th St, Grants Pass; (2) call (541) 479-5529 to have one mailed; (3) email frontdesk@jhcdc.net to request one by mail. Applications are also available outside at the walk-up window. NOTE: applications will NOT be emailed to you. Completed pre-applications are dropped off at the office or placed in the front-door drop slot.",https://www.jhcdc.net/applicants/,2026-08-06,Verified directly against JHCDC's own applicants page,"CRITICAL DISTINCTION: JHCDC is a completely separate housing authority from HAJC. A Josephine County resident must apply to JHCDC, NOT to HAJC in Medford. JHCDC administers roughly 869 Section 8 vouchers and owns Harbeck Village, a 48-unit tax credit property at 1760 Harbeck Road, Grants Pass (2/3/4-bedroom units). Waitlist position is NOT transferable, but once a voucher is issued a Josephine County resident may port it elsewhere.",(541) 479-5529; TDD 800-735-2900; Fax (541) 476-6120,frontdesk@jhcdc.net,"1205 NE 7th St, Grants Pass, OR 97526",,"Mon, Tue, Thu, Fri 9:00am-12:00pm and 1:00pm-4:00pm; Wed 9:00am-12:00pm only. Closed 12:00-1:00pm daily.","Josephine County, including Grants Pass and Cave Junction",Low-income Josephine County household meeting HUD income limits; passes standard HCV screening,"Waitlist OPEN until further notice. Applicants MUST notify JHCDC immediately of any change to contact info, income, or household members - an undeliverable notice or outdated information can result in removal from the list.",Public Housing Agency (JHCDC) official page,https://www.jhcdc.net/,High,1,JHCDC,Confirm current monthly income limit table (posted set was effective 04-01-2025). add intake to HAJC screener,2026-08-06,https://www.jhcdc.net/applicants/,"Pre-application is not downloadable - request by phone, email, in person, or at the outside walk-up window. Applicants needing help completing it can schedule an appointment by any contact method.","NEW ROW added 2026-08-06. This was the single largest gap in the sheet - Josephine County residents were previously only routable to HAJC, which does not serve them."
UCAN-SSVF-OR-001,Supportive Services for Veteran Families (SSVF) - Josephine/Douglas,Rent Support,"United Community Action Network (UCAN), using VA funds passed through from ACCESS",Josephine; Douglas (UCAN also operates SSVF in Klamath and Lake via CAPO),,Open,Continuous,0,50,Very low-income; standard SSVF threshold is 50% of Area Median Income,,,,Renter,,,,,,,,,Household must include a veteran; standard SSVF discharge and service requirements apply,,,,,,Yes - must be homeless or at risk of homelessness,,"Case management, emergency motel/shelter placement, housing search support, temporary cash assistance for urgent needs, deposits, and rental assistance to help veteran households obtain or retain housing",Not published - case-by-case,As needed per case plan,,,Call the UCAN Grants Pass office to apply; case managers work one-on-one with the veteran household,https://www.ucancap.org/veteran-services/,2026-08-06,Verified directly against UCAN's Veteran Services page,FUNDING STRUCTURE WORTH KNOWING: UCAN does not hold the VA grant directly for Josephine/Douglas - ACCESS obtains the funds and passes them to UCAN. This means a Josephine County veteran is served by UCAN even though ACCESS is the grantee of record. UCAN notes it has limited resources for this program and sometimes substitutes its general Housing and Homeless services instead.,800-301-8226; Grants Pass (541) 956-4050,,"900 SE 8th St., Grants Pass, OR 97526",,Mon-Fri 9:00am-12:00pm and 1:00pm-5:00pm; closed 12:00-1:00pm,Josephine and Douglas counties,"Veteran household in Josephine or Douglas County, very low-income, homeless or at risk",UCAN states resources for this program are limited,Agency (UCAN) official page,,High,1,UCAN,,2026-08-06,https://www.ucancap.org/veteran-services/,No downloadable form - contact UCAN directly. National Call Center for Homeless Veterans: 1-877-424-3838 (24/7).,NEW ROW added 2026-08-06. The sheet had SSVF for Jackson (ACCESS) only; Josephine veterans go to UCAN.
HAJC-FSS-OR-001,HAJC Family Self-Sufficiency (FSS) Program,Rent Support,"Housing Authority of Jackson County (HAJC), HUD-funded",Jackson,,Open,Rolling; onboarding paced to family capacity,,,No separate income test - eligibility is simply current HCV participation,,,,Renter (current voucher holder),,,,,,Head of household must seek and maintain suitable employment as part of the contract,,,,,PROHIBITED as a screening factor,,,,,Must currently hold a HAJC Housing Choice Voucher. Maximum of 2 lifetime graduations. 6-month wait before re-entry after graduating.,"Escrow savings account funded by rent increases from earned income, plus case management, Oregon IDA access (5:1 match), transportation loans up to $1,200 interest-free, technology loans up to $500, reduced-price YMCA childcare at $10/day, and gift card incentives","No cap - escrow accrues with earned income growth. One documented HAJC graduate received over $19,500.",Lump sum at graduation; interim withdrawals allowed after completing an interim goal,"NONE - HAJC has adopted no selection preferences; strictly first-come, first-served","FSS Contract of Participation and Individual Training and Services Plan, completed with a coordinator","Contact an FSS Coordinator directly - Tia Marten (tia@hajc.net, ext. 1021) or Eric Janoski (eric@hajc.net, ext. 1016)",https://hajc.net/housing-programs/family-self-sufficiency/,2026-08-06,Verified against HAJC's FSS program page and FSS Action Plan (Dec 2021; a Mar 2025 version supersedes),"HIGH VALUE, UNDER-PROMOTED. Participation is voluntary and CANNOT reduce a household's housing assistance - federal rules since Dec 29 2014 prohibit terminating HCV assistance for FSS non-compliance, and HAJC removed that clause from its own contract. HAJC also does NOT screen out families who owe money to HAJC or another housing authority. Prohibited screening factors: credit rating, education level, job history, marital status, number of children. FSS is also the gateway to the Homeownership Voucher.",(541) 779-5785 ext. 1021 (Tia) or ext. 1016 (Eric),tia@hajc.net; eric@hajc.net,"2251 Table Rock Road, Medford, OR 97501",,Mon-Thu 8:00am-4:30pm. CLOSED FRIDAYS. Closed daily 12:00-1:00pm.,Jackson County,Any current HAJC Housing Choice Voucher participant - that is the entire eligibility test,"Grant requires serving 75 participants per cycle; if full, interested returning participants are queued and contacted when space clears",Public Housing Agency (HAJC) official page + FSS Action Plan,,High,1,HAJC,Confirm current incentive dollar amounts against the March 2025 Action Plan.,2026-08-06,https://hajc.net/housing-programs/family-self-sufficiency/,No downloadable application - contact a coordinator. FSS Action Plan (March 2025): https://hajc.net/wp-content/uploads/2025/03/Housing-Authority-of-Jackson-County-OR015-FSS-Action-Plan-March-2025.pdf,NEW ROW added 2026-08-06.
HAJC-NED-OR-001,HAJC Non-Elderly Disabled (NED) Vouchers,Rent Support,"Housing Authority of Jackson County (HAJC), HUD-funded",Jackson,,Drawn from the standard HCV waiting list as vouchers become available,No separate application - apply to the HCV waitlist,0,50,Same very-low-income limits as the standard Housing Choice Voucher,,,,Renter,,,,,,,Non-elderly - under age 62,Household must include a non-elderly person with a disability,,,,,,,"Yes - must be homeless, at risk of homelessness, or living in an institutional setting",IMPORTANT EXCLUSION: families whose ONLY member with a disability is a minor child are NOT eligible for NED vouchers,"Housing Choice Voucher subsidy targeted to non-elderly disabled households, enabling access to private-market rentals",,Ongoing monthly while eligible,,Standard HCV documentation plus additional paperwork specific to the NED voucher,Apply to the standard HAJC Housing Choice Voucher waitlist through the Applicant Portal; NED candidates are selected from that list,https://hajc.net/housing-programs/housing-choice-voucher/,2026-08-06,Verified against HAJC's program materials,HAJC has been awarded NED vouchers since 1997. There is no way to apply for a NED voucher directly - the household must be on the general HCV waitlist.,(541) 779-5785,,"2251 Table Rock Road, Medford, OR 97501",,Mon-Thu 8:00am-4:30pm. CLOSED FRIDAYS.,Jackson County,"Under-62 household including a person with a disability, homeless/at risk/institutionalized, within HCV income limits",,Public Housing Agency (HAJC) official page,,Medium-High,1,HAJC,Same as regular HCV but adding since it is a seprate thing and jonathan might be able to use it for marketing,2026-08-06,https://www.pha-web.com/portals/applicant/2123,Apply via the standard HCV Applicant Portal - there is no separate NED application.,NEW ROW added 2026-08-06.
OR-EPRR-STATEWIDE-001,Oregon Eviction Prevention Rapid Response (OR-EPRR),Rent Support,"Oregon Housing and Community Services (OHCS), administered statewide by Public Partnerships LLC (PPL)","Statewide, including Jackson and Josephine",,Open - new batch of applications accepted at the start of each month,Opens at the beginning of each calendar month; closes once roughly 45 applications are received statewide for that month,,,Not published in materials reviewed - inquire directly,,,,,,,Yes - must have an active eviction court case for nonpayment of rent,,,,,,,,,,,,Yes - active eviction court case number required,Submitting an application does not guarantee approval or protection from eviction while pending,Rental payment made directly to the landlord to resolve the nonpayment triggering the eviction case,Not published,One-time per household per eviction case,,Active eviction court case number; landlord and tenant contact information for PPL outreach,Apply online at the start of each month while slots remain. Both tenant and landlord must respond to PPL outreach and document requests.,https://pplfirst.com/programs/oregon/or-eprr/,2026-08-06,Verified directly against PPL's official OR-EPRR program page,"Distinct from the closed Oregon Emergency Rental Assistance Program (OERAP) and from ACCESS ORE-DAP funding. Payment reaches the landlord about 10 days after full approval. The Eviction Defense Project (888-585-9638, evictiondefense@oregonlawcenter.org) provides free legal help for the court case but does NOT provide rental assistance - a companion resource, not the same program.",,"Eviction Defense Project (legal help, not rental assistance): evictiondefense@oregonlawcenter.org",,,,"Statewide, including Jackson and Josephine counties",Household anywhere in Oregon with an active eviction court case for nonpayment of rent,ONLY ~45 APPLICATIONS ACCEPTED PER MONTH STATEWIDE - the window can close within days of opening. Time referrals to the start of the month.,State-contracted administrator (PPL) official page,,Medium-High,0,N/A - statewide program,Income eligibility limits not published - confirm with PPL.,2026-08-06,https://pplfirst.com/programs/oregon/or-eprr/,"Online application only, available at the start of each month while the window remains open.",NEW ROW added 2026-08-06.
